"","naics2","PWCOUNTY","PERWT.sum","cntyind","ainsemp","p_ainsemp","einsemp","p_einsemp","looking4work","p_looking4work","trantime","NPBOSS90","SEI","HWSEI","PRENT","PRESGL","UHRSWORK","WKSWORK1","p_burd"
"106",56,71,41640,"7156",33322,0.800240153698367,19054,0.457588856868396,1323,0.0317723342939481,29.7387608069164,333.765321805956,26.835734870317,2890.07490393852,358.540706051873,295.884606147935,38.8585014409222,46.2273775216138,0.234529229789159
"107",56,111,15728,"11156",12226,0.77733977619532,7578,0.481815869786368,275,0.0174847405900305,26.1068158697864,348.178280773143,28.7958418107833,2919.99834689725,361.128369786368,308.633138351984,39.6365717192269,47.6721134282808,0.239453532197055
"108",61,25,2346,"2561",1825,0.777919863597613,1028,0.438192668371697,56,0.0238704177323103,14.8081841432225,716.049019607843,71.2953964194373,5460.58866155158,618.780477408355,618.257885763001,40.3593350383632,48.1253196930946,0.147433769877394
"109",61,37,397398,"3761",383830,0.965857905676425,313304,0.78838846697769,1540,0.00387520822953311,20.7190448869899,631.454380746758,61.7123941237752,5052.03386529374,555.6163443198,524.304005052869,35.8088490631558,46.1444068666677,0.267746313245584
"110",61,59,136503,"5961",132402,0.969956704248258,107447,0.787140209372688,1118,0.00819029618396665,19.6305722218559,647.200603649737,63.925474165403,5164.82949092694,568.496282132993,538.996805931005,35.9239723669077,46.2979055405376,0.248251754514874
"111",61,65,78301,"6561",75917,0.969553390122732,65094,0.831330378922364,937,0.0119666415499163,18.9051480824,608.990817486367,60.0207660183139,4932.48443825749,544.175195719084,507.786094685892,36.6196472586557,46.4713605190227,0.218178371751531
"112",61,71,75332,"7161",71188,0.944990176817289,56708,0.752774385387352,1460,0.0193808739977699,21.1037142250305,592.396418520682,60.6336616577285,4872.67218446344,533.253504486805,509.396431795253,35.0686693569798,45.2533584665215,0.178685572647562
"113",61,111,28640,"11161",26235,0.916026536312849,22660,0.791201117318436,314,0.010963687150838,15.1991270949721,645.084113128492,62.0883379888268,5122.15886871508,561.361277932961,520.759601955307,35.7356145251397,45.0847067039106,0.253771906299579
"114",62,25,9193,"2562",8714,0.947895137604699,5803,0.631241161753508,65,0.00707059719351681,14.0754922223431,444.080278472751,31.0465571630588,3542.88219297291,495.581855759817,435.202001522898,34.2555205047319,48.0943108887197,0.141231364261538
"115",62,37,636520,"3762",598158,0.939731665933513,439419,0.690345943568152,4911,0.00771538993275938,25.3970747187834,565.355991956262,46.0050603280337,4277.65444447936,530.671780933828,482.925567146358,37.7563862879407,48.2639838496827,0.257326368290823
"116",62,59,200416,"5962",187646,0.936282532332748,139996,0.698527063707488,1009,0.00503452818138272,22.6447638911065,597.967886795465,48.6445692958646,4470.94474493054,548.5445174038,502.075517922721,38.219293868753,47.9305644259939,0.241045886155706
"117",62,65,110780,"6562",103702,0.936107600649937,77944,0.703592706264669,1554,0.0140278028525005,22.5415508214479,538.841830655353,43.8379581151832,4069.67147499549,522.456255641813,477.38277667449,37.4820093879762,48.9802040079437,0.216030938528828
"118",62,71,118034,"7162",110045,0.932316112306623,81590,0.691241506684515,1624,0.0137587474795398,22.9760153853974,531.954504634258,43.1121456529475,4104.38855753427,525.682998119186,477.429986275141,37.3637426504228,48.5742243760272,0.189989244790951
